ip.proto,ip.flags,ip.frag_offset,ip.flags.mf,ip.flags.df,ip.flags.rb,ip.checksum,ip.dsfield,ip.dsfield.dscp,ip.dsfield.ecn,frame.len,ip.len
6,0x40,0,0,1,0,0x06b7,0x00,0,0,66,52
6,0x40,0,0,1,0,0x06b6,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4ccf,0x00,0,0,74,60
6,0x40,0,0,1,0,0x06b5,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4cd6,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4ad0,0x00,0,0,583,569
6,0x40,0,0,1,0,0x4cd4,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4c93,0x00,0,0,130,116
6,0x40,0,0,1,0,0x4c70,0x00,0,0,164,150
6,0x40,0,0,1,0,0x4b2c,0x00,0,0,487,473
6,0x40,0,0,1,0,0x4cd0,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4ccf,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4caf,0x00,0,0,97,83
6,0x40,0,0,1,0,0x4caa,0x00,0,0,101,87
6,0x40,0,0,1,0,0x4ccc,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4ccb,0x00,0,0,66,52
6,0x40,0,0,1,0,0x4cca,0x00,0,0,66,52
6,0x40,0,0,1,0,0xd3b4,0x00,0,0,74,60
6,0x40,0,0,1,0,0xe6c3,0x00,0,0,74,60
6,0x40,0,0,1,0,0x331d,0x00,0,0,74,60
6,0x40,0,0,1,0,0xe6ca,0x00,0,0,66,52
6,0x40,0,0,1,0,0xe473,0x00,0,0,664,650
6,0x40,0,0,1,0,0x7862,0x00,0,0,74,60
6,0x40,0,0,1,0,0xd3bb,0x00,0,0,66,52
6,0x40,0,0,1,0,0xd1b5,0x00,0,0,583,569
